id,address,latitude,longitude
180,"2141 Jane St, Rm 100 Toronto, ON M3M 1A2",43.7203451,-79.5080418
181,"219 Front St E Toronto, ON M5A 1E8",43.6507612,-79.3657659
182,"100 Sheppard Ave E, Suite 504 Toronto, ON M2N 6N5",43.7632483,-79.4054146
183,"30 Duncan St, Suite 606 Toronto, ON M5V 2C3",43.6489451,-79.3891879
184,"3031 Markham Rd, Unit 26-27 Toronto, ON M1X 1L9",43.8289769,-79.2493289
186,"375 University Ave, 5th Fl Toronto, ON M7A 1G1",43.6535534,-79.3871186
188,"Macdonald Block 900 Bay St, 2nd Flr Toronto, ON M7A 1N3",43.6632594,-79.3883665
189,"4580 Dufferin St, 2nd Fl Toronto, ON M3H 5Y2",43.7696449,-79.4676441
190,"10 Milner Business Court, Suite 600 Toronto, ON M1B 3C6",43.7886711,-79.2356873
191,"688 Coxwell Ave, Unit 302 Toronto, ON M4C 3B6",43.6826138,-79.3236267
192,"1491 Danforth Ave Toronto, ON M4J 1N5",43.6827606,-79.3257326
193,"90 Littles Rd Toronto, ON M1B 5E2",43.8184483,-79.2053717
194,"1499 Queen St W Toronto, ON M6R 1A3",43.6395743,-79.4405267
195,"Parkdale Public Library 1303 Queen St W Toronto, ON M6K 1L6",43.6412167,-79.4325861
196,"60 Carl Hall Rd, Unit 4 Toronto, ON M3K 2C1",43.7482546,-79.4758385
197,"260 Wellesley St E, Suite 102 Toronto, ON M4X 1G6",43.669088,-79.371727
198,"Birchmount Community Centre 93 Birchmount Rd Toronto, ON M1N 3J7",43.6952725,-79.2616313
199,"200 Eglinton Ave W, Main floor Toronto, ON M4R 1A7",43.7061902,-79.404222
200,"27 Roncesvalles Ave, Suite 407 Toronto, ON M6R 3B2",43.6397903,-79.4461627
201,"325 Milner Ave, Suite 110 Toronto, ON M1B 5N1",43.7898495,-79.2333083
202,"Friends' Meeting House 60 Lowther Ave Toronto, ON M5R 1C7",43.6703264,-79.3985104
203,"765 Queen St E Toronto, ON M4M 1H3",43.6590751,-79.3475321
204,"120 Carlton St, Suite 201 Toronto, ON M5A 4K3",43.6627278,-79.3763463
205,"925 Albion Rd, Rm 309 Toronto, ON M9V 1A6",43.735637,-79.563022
206,"Riverdale Hub 1326 Gerrard St E Toronto, ON M4L 1Z1",43.6716439,-79.3253848
207,"815 Danforth Ave, Main Floor Toronto, ON M4J 1L2",43.6795502,-79.3407742
208,"4168 Finch Ave E, Unit 328 Toronto, ON M1S 5H6",43.8037632,-79.2888924
209,"1645 Warden Ave Toronto, ON M1R 5B3",43.767659,-79.302321
211,"National Office 4141 Yonge St, Suite 300 Toronto, ON M2P 2A8",43.7464926,-79.4066459
212,"707 Dundas St W Toronto, ON M5T 2W6",43.6517657,-79.4049646
213,"2500 Lawrence Ave E, Unit 205 Toronto, ON M1P 2R7",43.7520927,-79.2679311
214,"1379 Bloor St W Toronto, ON M6P 4J5",43.6573299,-79.4462594
215,"90 Littles Rd Toronto, ON M1B 5E2",43.8184483,-79.2053717
216,"962 Bloor St W Toronto, ON M6H 1L6",43.6615865,-79.4288729
218,"2 Carlton St, Suite 1001 Toronto, ON M5B 1J3",43.6616782,-79.3828415
219,"240 Church St Toronto, ON M5B 1Z2",43.6558471,-79.3769973
220,"101 Ontario St Toronto, ON M5A 2V2",43.6545576,-79.3665754
221,"800 Lansdowne Ave, Unit 1 Toronto, ON M6H 4K3",43.6652961,-79.4462155
222,"800 Bay St, Suite 402 Toronto, ON M5S 3A9",43.661198,-79.3864149
223,"248 Ossington Ave Toronto, ON M6J 3A2",43.6496482,-79.4211127
224,"Trinity-St Paul's United Church 427 Bloor St W Toronto, ON M5S 1X7",43.6661611,-79.4055394
225,"91 Bellevue Ave Toronto, ON M5T 2N8",43.6562553,-79.4037584
226,"655 Bloor St W Toronto, ON M6G 1L1",43.6639531,-79.4153909
227,"145 Wellington St W, Suite 600 Toronto, ON M5J 1H8",43.6459794,-79.3849352
228,"St Andrew's United Church 117 Bloor St E Toronto, ON M4W 1A9",43.6705114,-79.383897
229,"George Syme Community School 69 Pritchard Ave, Rms 110, 101 Toronto, ON M6N 1T6",43.6693249,-79.490997
230,"1160 Birchmount Rd, Unit 1A Toronto, ON M1P 2B8",43.7407361,-79.2835257
231,"Emmanuel Church of the Nazarene 1875 Sheppard Ave W, Lower Level Toronto, ON M3L 1Y6",43.7404495,-79.503649
232,"18 Thorncliffe Park Dr Toronto, ON M4H 1N7",43.7044366,-79.3465952
233,"St Andrew's United Church 117 Bloor St E Toronto, ON M4W 1A9",43.6705114,-79.383897
234,"1571 Sandhurst Circle, Unit 202 Toronto, ON M1V 1V2",43.8092547,-79.2696046
235,"1761 Sheppard Ave E, Ground Floor Toronto, ON M2J 0A5",43.7754998,-79.3431673
